City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Kaabong,UG,3.4836,34.1492,66.0,70,57,12.55,broken clouds
336,Grand Gaube,MU,-20.0064,57.6608,74.37,62,17,7.0,few clouds
337,Awjilah,LY,29.1081,21.2869,64.9,63,0,8.21,clear sky
338,Bongor,TD,10.2806,15.3722,72.36,89,100,9.71,overcast clouds
339,Dubna,RU,56.7333,37.1667,49.24,80,82,11.05,broken clouds
340,Yining,CN,29.0361,114.5636,53.67,94,100,1.57,overcast clouds
341,Adra,ES,36.7496,-3.0206,63.37,68,4,4.29,clear sky
342,Havoysund,NO,70.9963,24.6622,46.63,90,100,41.9,light rain
343,Caravelas,BR,-17.7125,-39.2481,74.39,87,100,7.0,overcast clouds
344,Ancud,CL,-41.8697,-73.8203,51.75,98,100,19.13,light rain
345,Strelka,RU,58.0728,93.0344,34.2,87,100,3.78,overcast clouds
